player_name,wins,losses,win_pct,games,avg_pra,recommended_min,tier
Andre Drummond,9,6,60.0,15,19.9,14.9,⚠️ MODERATE
Luka Garza,9,6,60.0,15,12.1,7.1,⚠️ MODERATE
Daniss Jenkins,6,4,60.0,10,17.7,12.7,⚠️ MODERATE
Bennedict Mathurin,3,2,60.0,5,35.8,30.8,⚠️ MODERATE
Walker Kessler,3,2,60.0,5,28.2,23.2,⚠️ MODERATE
Dennis Schröder,10,7,58.8,17,22.2,17.2,❌ AVOID
Stephen Curry,8,6,57.1,14,36.2,31.2,❌ AVOID
Kawhi Leonard,4,3,57.1,7,32.3,27.3,❌ AVOID
Lauri Markkanen,9,7,56.2,16,37.5,32.5,❌ AVOID
Naz Reid,9,7,56.2,16,20.9,15.9,❌ AVOID
D'Angelo Russell,9,7,56.2,16,20.5,15.5,❌ AVOID
Jake LaRavia,9,7,56.2,16,16.9,11.9,❌ AVOID
Luke Kornet,5,4,55.6,9,16.1,11.1,❌ AVOID
Trendon Watford,7,6,53.8,13,17.8,12.8,❌ AVOID
Paul Reed,7,7,50.0,14,11.7,6.7,❌ AVOID
Javon Small,3,4,42.9,7,8.1,3.1,❌ AVOID
Quenton Jackson,2,3,40.0,5,18.8,13.8,❌ AVOID
