date,game_id,player_name,pts,reb,ast,pra,mp
2025-11-10,202511100LAC,Derrick Jones Jr.,11.0,2.0,2.0,15.0,33:18
2025-11-10,202511100LAC,John Collins,9.0,7.0,0.0,16.0,31:22
2025-11-10,202511100LAC,Ivica Zubac,13.0,12.0,1.0,26.0,30:07
2025-11-10,202511100LAC,Nicolas Batum,2.0,4.0,0.0,6.0,19:33
2025-11-10,202511100LAC,Cam Christie,3.0,3.0,3.0,9.0,18:22
2025-11-10,202511100LAC,Brook Lopez,9.0,0.0,2.0,11.0,16:37
2025-11-10,202511100LAC,Kobe Brown,9.0,2.0,0.0,11.0,15:32
2025-11-10,202511100LAC,Bogdan Bogdanović,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100LAC,Yanic Konan Niederhauser,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100LAC,Jordan Miller,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100LAC,Chris Paul,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100LAC,Kobe Sanders,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100MIA,Donovan Mitchell,28.0,15.0,8.0,51.0,40:55
2025-11-10,202511100MIA,Evan Mobley,21.0,10.0,5.0,36.0,38:43
2025-11-10,202511100MIA,De'Andre Hunter,23.0,4.0,4.0,31.0,35:16
2025-11-10,202511100MIA,Jarrett Allen,14.0,7.0,2.0,23.0,20:53
2025-11-10,202511100MIA,Darius Garland,11.0,5.0,2.0,18.0,18:57
2025-11-10,202511100MIA,Sam Merrill,12.0,2.0,2.0,16.0,32:38
2025-11-10,202511100MIA,Jaylon Tyson,9.0,9.0,1.0,19.0,31:05
2025-11-10,202511100MIA,Dean Wade,9.0,3.0,0.0,12.0,21:37
2025-11-10,202511100MIA,Lonzo Ball,9.0,4.0,2.0,15.0,19:31
2025-11-10,202511100MIA,Craig Porter Jr.,2.0,1.0,0.0,3.0,5:25
2025-11-10,202511100MIA,Thomas Bryant,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100MIA,Tyrese Proctor,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100MIA,Nae'Qwan Tomlin,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100MIA,Norman Powell,33.0,2.0,2.0,37.0,38:34
2025-11-10,202511100MIA,Davion Mitchell,11.0,2.0,8.0,21.0,38:12
2025-11-10,202511100MIA,Andrew Wiggins,23.0,2.0,5.0,30.0,37:26
2025-11-10,202511100MIA,Kel'el Ware,14.0,20.0,1.0,35.0,33:38
2025-11-10,202511100MIA,Pelle Larsson,10.0,5.0,4.0,19.0,26:29
2025-11-10,202511100MIA,Jaime Jaquez Jr.,22.0,13.0,7.0,42.0,33:20
2025-11-10,202511100MIA,Nikola Jović,8.0,8.0,4.0,20.0,26:18
2025-11-10,202511100MIA,Simone Fontecchio,13.0,4.0,0.0,17.0,16:15
2025-11-10,202511100MIA,Dru Smith,6.0,0.0,1.0,7.0,14:48
2025-11-10,202511100MIA,Vladislav Goldin,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100MIA,Kasparas Jakucionis,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100MIA,Keshad Johnson,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100ORL,Jrue Holiday,13.0,7.0,7.0,27.0,35:39
2025-11-10,202511100ORL,Deni Avdija,27.0,5.0,5.0,37.0,35:07
2025-11-10,202511100ORL,Toumani Camara,8.0,5.0,3.0,16.0,33:51
2025-11-10,202511100ORL,Donovan Clingan,2.0,9.0,0.0,11.0,29:16
2025-11-10,202511100ORL,Shaedon Sharpe,31.0,3.0,1.0,35.0,28:40
2025-11-10,202511100ORL,Jerami Grant,17.0,1.0,4.0,22.0,30:46
2025-11-10,202511100ORL,Kris Murray,3.0,2.0,1.0,6.0,18:33
